Wall time,Step,Value
1769674468.3831549,1,0.4686446487903595
1769674542.4425762,3,0.4910672903060913
1769674579.904248,4,0.44655799865722656
1769674615.823458,5,0.44662418961524963
1769674721.5846846,8,0.4447469115257263
1769674797.6881962,10,0.42792874574661255
1769674833.4607108,11,0.43539944291114807
1769674869.5627923,12,0.44882023334503174
1769674983.6145763,15,0.4479914903640747
1769675018.6344218,16,0.44348978996276855
1769675055.8596268,17,0.4133262038230896
1769675092.2520518,18,0.4579083323478699
1769675128.61932,19,0.4208132028579712
1769675161.6881008,20,0.4483250677585602
1769675198.9891434,21,0.4688527584075928
1769675271.7108235,23,0.4325382113456726
1769675310.096968,24,0.49813058972358704
1769675383.9939725,26,0.4673495292663574
1769675421.2807791,27,0.42290380597114563
1769675458.6330132,28,0.47675076127052307
1769675494.8642344,29,0.4700779616832733
1769675532.53295,30,0.44592389464378357
1769675567.7708628,31,0.47319379448890686
1769675603.4299285,32,0.4325375556945801
1769675641.3126066,33,0.4653862714767456
1769675676.8157332,34,0.4438709616661072
1769675712.8404856,35,0.44728368520736694
1769675785.5783293,37,0.43993285298347473
1769675821.7567983,38,0.4631234407424927
1769675860.1714828,39,0.461092084646225
1769675892.1044395,40,0.4217241406440735
1769675930.9891458,41,0.45620885491371155
1769676004.8064501,43,0.48513689637184143
1769676042.3976066,44,0.44955193996429443
1769676154.68832,47,0.48310011625289917
1769676190.9457622,48,0.4908909797668457
1769676225.535171,49,0.44497111439704895
1769676261.8703024,50,0.46536415815353394
1769676298.7236547,51,0.4328085482120514
1769676336.4867291,52,0.4461462199687958
1769676373.957027,53,0.45972681045532227
1769676410.496282,54,0.4403165280818939
1769676447.5100718,55,0.43519875407218933
1769676485.4036362,56,0.4597838521003723
1769676558.866472,58,0.47695013880729675
1769676597.9528594,59,0.4743121862411499
1769676672.7344248,61,0.42206093668937683
1769676710.5838492,62,0.48206424713134766
1769676748.2940202,63,0.44919806718826294
1769676785.2255929,64,0.5108411312103271
1769676858.7142599,66,0.45307424664497375
1769676895.661577,67,0.4288880527019501
1769676932.3382998,68,0.46697282791137695
1769676969.8623981,69,0.3930239677429199
1769677044.8339627,71,0.47163933515548706
1769677080.4855692,72,0.4025876224040985
1769677116.7102563,73,0.48595505952835083
1769677152.3157964,74,0.4757712781429291
1769677228.2289274,76,0.45495232939720154
1769677299.5595582,78,0.4531373977661133
1769677335.6631947,79,0.45768892765045166
1769677372.3579981,80,0.4552188515663147
1769677410.2088323,81,0.4494178295135498
1769677447.2706969,82,0.4179830253124237
1769677483.4200819,83,0.4360103905200958
1769677518.6414793,84,0.409616619348526
1769677592.4875848,86,0.4423186480998993
1769677630.0506566,87,0.443983256816864
1769677666.1813543,88,0.456270307302475
1769677702.3410335,89,0.42371687293052673
1769677738.2748988,90,0.4132818579673767
1769677774.1074047,91,0.3970660865306854
1769677849.6458576,93,0.41232579946517944
1769677925.1758153,95,0.39128386974334717
1769677960.2370758,96,0.40577805042266846
1769677996.5279639,97,0.4123648405075073
1769678109.0241036,100,0.36910510063171387
1769678144.190932,101,0.3974696099758148
1769678181.2087674,102,0.4026947021484375
1769678255.751994,104,0.35399267077445984
1769678293.1827533,105,0.4075443744659424
1769678364.1541944,107,0.35200995206832886
1769678400.188556,108,0.3585267663002014
1769678435.0663517,109,0.355106383562088
1769678470.5181103,110,0.3032250702381134
1769678507.544897,111,0.3112175762653351
1769678543.2577791,112,0.3091611862182617
1769678580.2624228,113,0.3129400312900543
1769678652.1900315,115,0.3415125012397766
1769678689.0769038,116,0.31781694293022156
1769678725.798275,117,0.303201824426651
1769678761.598172,118,0.3023843467235565
1769678800.8126986,119,0.2674952745437622
1769678837.0649164,120,0.2804669141769409
1769678874.730048,121,0.2531444728374481
1769678910.26951,122,0.254820317029953
1769678984.5179813,124,0.2503041923046112
1769679057.8184206,126,0.2576541602611542
1769679094.193985,127,0.2776673436164856
1769679130.8663614,128,0.26458388566970825
1769679166.010473,129,0.24275772273540497
1769679201.0788617,130,0.2273891270160675
1769679237.1739159,131,0.25222665071487427
1769679274.7711375,132,0.24801675975322723
1769679311.4828982,133,0.2499527484178543
1769679384.6273005,135,0.24983137845993042
1769679458.5225108,137,0.2562081813812256
1769679495.025675,138,0.2275756597518921
1769679532.7836423,139,0.2220049500465393
1769679567.7351227,140,0.21498417854309082
1769679606.4630866,141,0.2570274770259857
1769679643.4672797,142,0.21597543358802795
1769679718.687233,144,0.22324031591415405
1769679755.5005157,145,0.21722866594791412
1769679791.7273493,146,0.2246820479631424
1769679828.5441074,147,0.22043970227241516
1769679865.0084424,148,0.2505398690700531
1769679902.4189813,149,0.22934910655021667
1769679977.6700952,151,0.23572006821632385
1769680051.7202468,153,0.23742683231830597
1769680087.4296987,154,0.24414463341236115
1769680125.0594864,155,0.22702795267105103
1769680198.92673,157,0.2120567411184311
1769680234.8734102,158,0.21742944419384003
1769680270.0396843,159,0.23130495846271515
1769680305.2709932,160,0.2012673169374466
1769680338.7041855,161,0.19171075522899628
1769680375.158694,162,0.22624260187149048
1769680411.7062914,163,0.21198183298110962
1769680447.8877072,164,0.21302837133407593
1769680484.3789587,165,0.2155698835849762
1769680561.0215375,167,0.20610494911670685
1769680634.0454624,169,0.21003735065460205
1769680670.5904348,170,0.19576948881149292
1769680705.4359307,171,0.17989711463451385
1769680740.7125797,172,0.18499848246574402
1769680781.0655775,173,0.20161740481853485
1769680853.4082513,175,0.19325482845306396
1769680889.6021237,176,0.19118382036685944
1769680926.1132224,177,0.2024058848619461
1769680963.0484676,178,0.19133438169956207
1769681001.2469385,179,0.18937857449054718
1769681074.7412913,181,0.19101274013519287
1769681110.3895788,182,0.16587252914905548
1769681148.2700906,183,0.18279527127742767
1769681184.6467247,184,0.18204016983509064
1769681223.427403,185,0.17971333861351013
1769681261.4063358,186,0.19094759225845337
1769681298.4360645,187,0.1823495328426361
1769681408.8417928,190,0.19161131978034973
1769681442.2976933,191,0.16973523795604706
1769681480.9536176,192,0.1826322078704834
1769681519.17227,193,0.20735718309879303
1769681557.7932792,194,0.1818694919347763
1769681628.9646251,196,0.19258220493793488
1769681704.644544,198,0.1873784065246582
1769681740.8410728,199,0.19328640401363373
1769681778.106097,200,0.17015661299228668
1769681813.348153,201,0.18172578513622284
1769681884.3845086,203,0.1599947214126587
1769681921.51464,204,0.17310696840286255
1769681959.0227478,205,0.17066700756549835
1769681996.2762933,206,0.1635492593050003
1769682034.1421134,207,0.15211907029151917
1769682070.0457618,208,0.15365643799304962
1769682106.9448657,209,0.15643428266048431
1769682144.4204268,210,0.1644977182149887
1769682178.7546263,211,0.1671876609325409
1769682216.1996465,212,0.1674290895462036
1769682289.9426372,214,0.1637846976518631
1769682329.4761238,215,0.15760548412799835
1769682365.9660168,216,0.147163525223732
1769682402.4081602,217,0.1517133265733719
1769682476.1221356,219,0.14995910227298737
